Sample_number,Species,Sex,Age,Date_of_sample_collection,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB #180)","2,2',3,4,4',5'-Hexachlorobiphenyl (PCB #138)","2,2',4,4',5,5'-Hexachlorobiphenyl (PCB #153)","2,2',4,5,5'-Pentachlorobiphenyl (PCB #101)",Acenaphthene,Avobenzone,BHC-beta,Caffeine,"DDE-p,p'",DEHA (Di(2-ethylhexyl) adipate),DINCH (Diisononyl hexahydrophthalate),DPHP (Bis(2-propylheptyl) phthalate),EHS (2-Ethylhexyl salicylate),Epoxiconazole,Fluopyram,Fluorene,Galaxolide,OC (Octocrylene),Oxybenzone,Phenanthrene,Tetraconazole,Triphenyl phosphate,UV 328,Uvinul A Plus,Park,(-)-Cotinine,17α-Ethinylestradiol,Cypermethrin,Diphenylamine,Estrone,Fipronil,Fludioxonil,TDCPP,Tebuconazole,Tonalid,Picolinafen,Triclosan,"1,3-Dinitrobenzene","2,2',4,4'-tetrabromodiphenyl ether (BDE-47)","2,2',5,5'-Tetrachlorobiphenyl (PCB #52)",Boscalid,"2,4,4'-Trichlorobiphenyl (PCB #28)",Dieldrin,Atrazine,Propiconazole,Terbuthylazine,Terbuthylazine-desethyl,oxy-Chlordane,Clopidogrel,Diazepam,Fenpropidin,Heptachlor,Myclobutanil,trans-Chlordane,"2,2',4,4',5-pentabromodiphenyl ether (BDE-99)",Azoxystrobin,Codeine,Fipronil sulfone,Lenacil,Benzophenone-1,Difenoconazole,Dimethomorph,Season
A01,C. elaphus,Male,Adult,2023-12-11,NA,<1,<2,NA,<4,NA,<1,NA,<1,<20,NA,<10,4.8,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A03,C. elaphus,Male,Subadult,2024-01-30,<1,<1,<2,NA,<4,NA,NA,NA,<1,20.5,<4,<10,<4,NA,<1,<4,<2,<10,<1,<10,1.5,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A05,C. elaphus,Male,Subadult,2024-01-31,<1,<1,<2,NA,<4,NA,NA,<2,<1,<20,NA,<10,<4,NA,NA,<4,<2,11.5,<1,<10,<1,<1,<4,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A06,C. elaphus,Male,Subadult,2023-12-27,<1,<1,<2,NA,<4,NA,NA,NA,<1,<20,<4,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A07,C. elaphus,Female,Adult,2024-01-25,NA,NA,NA,NA,<4,NA,NA,<2,<1,42.6,NA,<10,<4,NA,NA,<4,<2,<10,<1,<10,NA,<1,<4,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A08,C. elaphus,Male,Adult,2024-01-30,NA,<1,<2,NA,<4,NA,NA,NA,<1,30.8,<4,<10,<4,<1,<1,<4,<2,<10,<1,<10,1.3,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A09,C. elaphus,Male,Adult,2023-12-05,<1,<1,<2,<1,<4,NA,NA,9.8000000000000007,<1,<20,NA,<10,<4,NA,NA,<4,<2,10.5,<1,<10,<1,<1,<4,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A13,C. elaphus,Female,Subadult,2024-01-25,NA,<1,<2,NA,<4,12.8,NA,NA,<1,29.1,NA,<10,<4,<1,<1,<4,<2,<10,<1,<10,2,<1,<4,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A19,C. elaphus,Male,Subadult,2024-01-30,NA,<1,<2,NA,<4,NA,NA,NA,<1,<20,<4,<10,<4,NA,<1,<4,<2,<10,<1,<10,1.9,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
A20,C. elaphus,Male,Adult,2023-12-29,NA,<1,NA,NA,<4,NA,NA,7.7,<1,<20,NA,<10,6.8,NA,NA,<4,<2,<10,<1,<10,NA,<1,NA,<10,Bay_Wald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Winter 2023/24
