Sample_number,Species,"2,4,4'-Trichlorobiphenyl (PCB #28)","2,2',5,5'-Tetrachlorobiphenyl (PCB #52)","2,2',4,5,5'-Pentachlorobiphenyl (PCB #101)","2,2',3,4,4',5'-Hexachlorobiphenyl (PCB #138)","2,2',4,4',5,5'-Hexachlorobiphenyl (PCB #153)","2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB #180)","DDE-p,p'","DDT (p,p' and o,p')",Dieldrin,BHC-beta,gamma-HCH,oxy-Chlordane,Permethrin,Epoxiconazole,Propiconazole,Tebuconazole,Tetraconazole,Date_of_sample_collection,Park
CC1,C. capreolus,NA,<1,NA,<1,<1,<1,<1,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-01-24,Non-Park
CC2,C. capreolus,NA,NA,NA,<1,<1,NA,<1,NA,NA,<1,<1,NA,NA,NA,NA,NA,NA,2021-05-27,Non-Park
CC3,C. capreolus,NA,NA,NA,<1,<1,1,<1,<2,NA,15,NA,NA,NA,NA,NA,<2,NA,2021-05-29,Non-Park
CC4,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,1,NA,NA,NA,NA,NA,<2,NA,2021-05-02,Non-Park
CC5,C. capreolus,NA,NA,NA,<1,<1,<1,<1,NA,NA,1,NA,<2,NA,NA,NA,<2,NA,2021-06-27,Non-Park
CC6,C. capreolus,NA,NA,NA,<1,<1,NA,<1,<2,NA,1,NA,NA,NA,NA,NA,NA,NA,2021-05-14,Non-Park
CC7,C. capreolus,NA,NA,NA,<1,<1,<1,3,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-05-15,Non-Park
CC8,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,<1,NA,<2,<4,NA,NA,NA,NA,2021-05-14,Non-Park
CC9,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,<1,NA,<2,8,NA,NA,NA,NA,2021-04-16,Non-Park
CC10,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,2,NA,<2,NA,NA,NA,NA,NA,2021-04-16,Non-Park
CC11,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,1,NA,<2,NA,NA,NA,NA,NA,2021-04-18,Non-Park
CC12,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,4,NA,NA,NA,NA,NA,NA,NA,2021-04-18,Non-Park
CC13,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-04-19,Non-Park
CC14,C. capreolus,NA,NA,NA,<1,<1,<1,3,<2,NA,<1,NA,<2,NA,NA,NA,NA,NA,2021-04-19,Non-Park
CC15,C. capreolus,NA,NA,NA,<1,<1,<1,2,<2,NA,<1,NA,<2,NA,NA,NA,NA,NA,2021-04-21,Non-Park
CC16,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-04-24,Non-Park
CC17,C. capreolus,NA,NA,NA,<1,<1,<1,2,<2,NA,<1,NA,2,NA,NA,NA,NA,NA,2021-04-24,Non-Park
CC18,C. capreolus,NA,NA,NA,<1,<1,<1,<1,<2,NA,2,NA,<2,NA,NA,NA,NA,NA,2021-04-23,Non-Park
CC19,C. capreolus,NA,<1,NA,<1,<1,<1,2,<2,NA,<1,NA,NA,NA,NA,NA,NA,NA,2021-04-23,Non-Park
CC20,C. capreolus,NA,NA,NA,<1,<1,<1,2,<2,NA,<1,NA,NA,NA,NA,NA,3,NA,2021-04-21,Non-Park
CC21,C. capreolus,NA,<1,NA,<1,<1,<1,<1,<2,NA,<1,<1,<2,4,NA,NA,NA,NA,2021-04-19,Non-Park
CC22,C. capreolus,NA,NA,NA,<1,<1,<1,1,<2,NA,<1,NA,<2,<4,NA,NA,NA,NA,2021-04-17,Non-Park
CC23,C. capreolus,NA,<1,NA,<1,<1,<1,2,<2,NA,<1,<1,<2,<4,NA,NA,NA,NA,2021-04-25,Non-Park
CC24,C. capreolus,NA,NA,NA,<1,<1,<1,2,<2,NA,1,NA,<2,NA,NA,NA,NA,NA,2021-04-18,Non-Park
CC25,C. capreolus,<1,NA,NA,<1,<1,<1,10,<2,NA,<1,NA,<2,<4,NA,NA,NA,NA,2021-02-24,Non-Park
