primary_category,Park,Sample_number,Date_of_sample_collection,Value_sum_quantified_by_category,Value_min,Value_max,Detected_by_category
POP,Bay_Wald,A01,2023-12-11,0,0,15,detected
POP,Bay_Wald,A03,2024-01-30,0,0,15,detected
POP,Bay_Wald,A05,2024-01-31,0,0,15,detected
POP,Bay_Wald,A06,2023-12-27,0,0,15,detected
POP,Bay_Wald,A07,2024-01-25,0,0,15,detected
POP,Bay_Wald,A08,2024-01-30,0,0,15,detected
POP,Bay_Wald,A09,2023-12-05,0,0,15,detected
POP,Bay_Wald,A100,2024-12-09,0,0,15,detected
POP,Bay_Wald,A13,2024-01-25,0,0,15,detected
POP,Bay_Wald,A19,2024-01-30,0,0,15,detected
POP,Bay_Wald,A20,2023-12-29,0,0,15,detected
POP,Bay_Wald,A23,2024-01-28,4.2,4.2,16.2,quantified
POP,Bay_Wald,A39,2024-01-31,0,0,15,detected
POP,Bay_Wald,A40,2024-01-30,0,0,15,detected
POP,Bay_Wald,A54,2024-12-02,0,0,15,detected
POP,Bay_Wald,A55,2025-01-04,0,0,15,detected
POP,Bay_Wald,A59,2024-10-16,0,0,15,detected
POP,Bay_Wald,A62,2024-11-13,6.8801031785123,6.8801031785123,16.8801031785123,quantified
POP,Bay_Wald,A63,2024-11-19,0,0,15,detected
POP,Bay_Wald,A64,2024-10-22,1.25804325010195,1.25804325010195,15.25804325010195,quantified
POP,Bay_Wald,A65,2024-11-24,0,0,15,detected
POP,Bay_Wald,A67,2024-10-31,0,0,15,detected
POP,Bay_Wald,A68,2024-10-13,0,0,15,detected
POP,Bay_Wald,A72,2024-12-29,0,0,15,detected
POP,Bay_Wald,A73,2024-10-27,5.6014121288374,5.6014121288374,17.6014121288374,quantified
POP,Bay_Wald,A76,2024-12-19,0,0,15,detected
POP,Bay_Wald,A77,2024-11-25,0,0,15,detected
POP,Bay_Wald,A80,2025-01-27,1.22736795188998,1.22736795188998,15.22736795188998,quantified
POP,Bay_Wald,A83,2025-01-14,1.15782108115671,1.15782108115671,15.15782108115671,quantified
POP,Bay_Wald,A85,2024-11-25,0,0,15,detected
POP,Bay_Wald,A89,2024-12-19,0,0,15,detected
POP,Bay_Wald,A91,2024-09-27,5.1956315970421,5.1956315970421,17.1956315970421,quantified
POP,Bay_Wald,A92,2024-12-18,0,0,15,detected
POP,Bay_Wald,A94,2024-12-19,0,0,15,detected
POP,Bay_Wald,A95,2024-12-18,1.34560890369253,1.34560890369253,15.34560890369253,quantified
POP,Bay_Wald,A96,2024-12-13,0,0,15,detected
POP,Bay_Wald,A99,2024-12-19,0,0,15,detected
POP,Eifel,Z01,2023-11-29,0,0,15,detected
POP,Eifel,Z02,2023-11-21,3.928717203612064,3.928717203612064,15.928717203612063,quantified
POP,Eifel,Z03,2023-11-21,60.34738165416982,60.34738165416982,72.34738165416982,quantified
POP,Eifel,Z04,2023-11-29,0,0,15,detected
POP,Eifel,Z05,2023-11-29,3.53646010963776,3.53646010963776,16.53646010963776,quantified
