category,Coefficient,Value,Std. Error,p,Estimate_on_the_response_scale,lwr_on_the_response_scale,uppr_on_the_response_scale
API,(Intercept),0.4954,31287.1649,1,1.6412,0,Inf
API,Agesubadult,-0.2389,0.2143,0.265,0.7875,0.5174,1.1986
API,Ageadult,-0.1962,0.1808,0.2779,0.8219,0.5766,1.1714
API,ParkEifel,1.4986,31287.1649,1,4.4753,0,Inf
API,ParkHainich,1.5607,31287.1649,1,4.7622,0,Inf
API,ParkHunsrueck,-0.2932,39729.0333,1,0.7458,0,Inf
API,ParkJasmund,-0.2467,41853.7631,1,0.7814,0,Inf
API,ParkKellerwald,1.1088,31287.1649,1,3.0307,0,Inf
API,ParkSaechs_Schw,-0.1804,38074.9733,1,0.8349,0,Inf
API,ParkVorpomm,-0.178,41811.4045,1,0.8369,0,Inf
API,Sexmale,-0.1572,0.1534,0.3056,0.8546,0.6326,1.1543
API,ps(Date_numeric)3,-0.5536,0.6451,0.3908,0.5749,0.1624,2.0357
API,ps(Date_numeric)4,-1.0228,0.882,0.2462,0.3596,0.0638,2.0258
API,ps(Date_numeric)5,-1.1894,0.8989,0.1858,0.3044,0.0523,1.7725
API,ps(Date_numeric)6,-1.1336,0.8293,0.1716,0.3219,0.0634,1.6352
API,ps(Date_numeric)7,-0.9818,0.7673,0.2007,0.3746,0.0833,1.6856
API,ps(Date_numeric)8,-0.7467,0.7222,0.3012,0.4739,0.1151,1.9519
API,ps(Date_numeric)9,-0.6811,0.7074,0.3357,0.5061,0.1265,2.0248
API,ps(Date_numeric)10,-0.8988,0.708,0.2043,0.4071,0.1016,1.6304
API,ps(Date_numeric)11,-1.0074,0.7693,0.1903,0.3652,0.0809,1.6492
API,ps(Date_numeric)12,-1.0281,0.8753,0.2402,0.3577,0.0643,1.9886
API,ps(Date_numeric)13,-1.0294,1.1942,0.3887,0.3572,0.0344,3.7103
API,ps(Date_numeric)14,-1.0307,1.8157,0.5703,0.3568,0.0102,12.5294
API,Log(scale),-1.2456,0.2285,0,0.2878,0.1839,0.4504
Anthropogenic pollution,(Intercept),2.7173,0.3645,0,15.1397,7.4101,30.9322
Anthropogenic pollution,Agesubadult,0.137,0.092,0.1365,1.1468,0.9576,1.3734
Anthropogenic pollution,Ageadult,0.01,0.0897,0.9109,1.0101,0.8473,1.2042
Anthropogenic pollution,ParkEifel,-0.322,0.1743,0.0648,0.7247,0.5149,1.0199
Anthropogenic pollution,ParkHainich,0.1778,0.1595,0.265,1.1945,0.8739,1.6329
Anthropogenic pollution,ParkHunsrueck,-0.5574,0.2042,0.0063,0.5727,0.3838,0.8545
Anthropogenic pollution,ParkJasmund,0.2715,0.1597,0.0891,1.312,0.9593,1.7943
Anthropogenic pollution,ParkKellerwald,-0.4298,0.217,0.0476,0.6507,0.4253,0.9955
Anthropogenic pollution,ParkSaechs_Schw,0.2134,0.1494,0.1533,1.2378,0.9236,1.6589
Anthropogenic pollution,ParkVorpomm,-0.1843,0.1739,0.2893,0.8317,0.5915,1.1695
Anthropogenic pollution,Sexmale,-0.1362,0.0786,0.0831,0.8727,0.7481,1.018
Anthropogenic pollution,ps(Date_numeric)3,-0.2359,0.2501,0.3455,0.7898,0.4838,1.2895
Anthropogenic pollution,ps(Date_numeric)4,-0.4283,0.3574,0.2308,0.6516,0.3234,1.3128
Anthropogenic pollution,ps(Date_numeric)5,-0.506,0.3775,0.1802,0.6029,0.2877,1.2636
Anthropogenic pollution,ps(Date_numeric)6,-0.5588,0.3733,0.1344,0.5719,0.2751,1.1887
Anthropogenic pollution,ps(Date_numeric)7,-0.5197,0.3611,0.15,0.5947,0.2931,1.2068
Anthropogenic pollution,ps(Date_numeric)8,-0.4585,0.3471,0.1865,0.6322,0.3202,1.2484
Anthropogenic pollution,ps(Date_numeric)9,-0.4512,0.3391,0.1833,0.6368,0.3276,1.2379
Anthropogenic pollution,ps(Date_numeric)10,-0.473,0.3395,0.1636,0.6231,0.3203,1.2122
Anthropogenic pollution,ps(Date_numeric)11,-0.4091,0.3478,0.2395,0.6643,0.336,1.3133
Anthropogenic pollution,ps(Date_numeric)12,-0.3609,0.35,0.3025,0.697,0.351,1.3843
Anthropogenic pollution,ps(Date_numeric)13,-0.5478,0.3535,0.1212,0.5782,0.2892,1.1561
Anthropogenic pollution,ps(Date_numeric)14,-0.7907,0.442,0.0736,0.4535,0.1907,1.0786
Anthropogenic pollution,Log(scale),-0.6631,0.0588,0,0.5152,0.4592,0.5782
Industrial chemical,(Intercept),NA,0,NA,NA,NA,NA
Industrial chemical,Agesubadult,NA,0,NA,NA,NA,NA
Industrial chemical,Ageadult,NA,0,NA,NA,NA,NA
Industrial chemical,ParkEifel,NA,0,NA,NA,NA,NA
Industrial chemical,ParkHainich,NA,0,NA,NA,NA,NA
Industrial chemical,ParkHunsrueck,NA,0,NA,NA,NA,NA
Industrial chemical,ParkJasmund,NA,0,NA,NA,NA,NA
Industrial chemical,ParkKellerwald,NA,0,NA,NA,NA,NA
Industrial chemical,ParkSaechs_Schw,NA,0,NA,NA,NA,NA
Industrial chemical,ParkVorpomm,NA,0,NA,NA,NA,NA
Industrial chemical,Sexmale,NA,0,NA,NA,NA,NA
Industrial chemical,ps(Date_numeric)3,0,3.603,1,1,9e-4,1166.4223
Industrial chemical,ps(Date_numeric)4,0,6.4865,1,1,0,332110.95
Industrial chemical,ps(Date_numeric)5,0,8.729,1,1,0,26923312.199
Industrial chemical,ps(Date_numeric)6,0,10.3308,1,1,0,621671097.3528
Industrial chemical,ps(Date_numeric)7,0,11.2918,1,1,0,4088964951.5398
Industrial chemical,ps(Date_numeric)8,0,11.6122,1,1,0,7661199964.3239
Industrial chemical,ps(Date_numeric)9,0,11.2918,1,1,0,4088964951.5397
Industrial chemical,ps(Date_numeric)10,0,10.3308,1,1,0,621671097.3528
Industrial chemical,ps(Date_numeric)11,0,8.729,1,1,0,26923312.199
Industrial chemical,ps(Date_numeric)12,0,6.4865,1,1,0,332110.95
Industrial chemical,ps(Date_numeric)13,0,3.603,1,1,9e-4,1166.4223
Industrial chemical,ps(Date_numeric)14,NA,0,NA,NA,NA,NA
Industrial chemical,Log(scale),NA,0,NA,NA,NA,NA
PAH,(Intercept),2.8072,0.1806,0,16.5633,11.6251,23.599
PAH,Agesubadult,0.0305,0.0492,0.5357,1.0309,0.9362,1.1353
PAH,Ageadult,0.0406,0.0466,0.3841,1.0414,0.9505,1.141
PAH,ParkEifel,0.0056,0.0823,0.9453,1.0057,0.8559,1.1817
