category,Coefficient,Value,Std. Error,p
POP,(Intercept),1.995,0.3286,0
POP,ParkEifel,0.5973,0.1661,3e-4
POP,ParkHainich,-0.1298,0.233,0.5774
POP,ParkHunsrueck,0.3552,0.1763,0.0439
POP,ParkJasmund,-0.2309,0.3212,0.4723
POP,ParkKellerwald,0.5263,0.1924,0.0062
POP,ParkSaechs_Schw,0.1948,0.1771,0.2714
POP,ParkVorpomm,-0.1604,0.2829,0.5707
POP,ParkNon-Park,0.4122,0.3443,0.2311
POP,ps(Date_numeric)3,-0.0234,0.2476,0.9248
POP,ps(Date_numeric)4,-0.0139,0.3245,0.9659
POP,ps(Date_numeric)5,0.1324,0.315,0.6743
POP,ps(Date_numeric)6,0.2194,0.2933,0.4545
POP,ps(Date_numeric)7,0.0665,0.2919,0.8197
POP,ps(Date_numeric)8,-0.0084,0.308,0.9784
POP,ps(Date_numeric)9,-0.0668,0.3466,0.8473
POP,ps(Date_numeric)10,-0.1587,0.3993,0.691
POP,ps(Date_numeric)11,-0.1932,0.4323,0.6549
POP,ps(Date_numeric)12,-0.1503,0.4522,0.7395
POP,ps(Date_numeric)13,-0.1439,0.5112,0.7783
POP,ps(Date_numeric)14,-0.1448,0.6737,0.8298
POP,Log(scale),-0.886,0.0543,0
Pesticide,(Intercept),-1.4781,6.7583,0.8269
Pesticide,ParkEifel,-1.1122,25.8366,0.9657
Pesticide,ParkHainich,0.6574,0.3803,0.0839
Pesticide,ParkHunsrueck,-1.1195,30.2141,0.9704
Pesticide,ParkJasmund,0.3754,0.3589,0.2956
Pesticide,ParkKellerwald,0.1746,44.7064,0.9969
Pesticide,ParkSaechs_Schw,-1.5031,26.1074,0.9541
Pesticide,ParkVorpomm,-1.3778,46.1469,0.9762
Pesticide,ParkNon-Park,-0.0669,1.2079,0.9558
Pesticide,ps(Date_numeric)3,0.5245,3.1689,0.8685
Pesticide,ps(Date_numeric)4,1.0491,5.4201,0.8465
Pesticide,ps(Date_numeric)5,1.5708,6.6226,0.8125
Pesticide,ps(Date_numeric)6,2.0869,6.8226,0.7597
Pesticide,ps(Date_numeric)7,2.3804,6.7545,0.7245
Pesticide,ps(Date_numeric)8,2.6176,6.7715,0.6991
Pesticide,ps(Date_numeric)9,2.8467,6.808,0.6758
Pesticide,ps(Date_numeric)10,3.1535,6.8716,0.6463
Pesticide,ps(Date_numeric)11,2.4883,6.9017,0.7184
Pesticide,ps(Date_numeric)12,1.3112,7.0847,0.8532
Pesticide,ps(Date_numeric)13,0.1292,7.8209,0.9868
Pesticide,ps(Date_numeric)14,-1.0528,9.3683,0.9105
Pesticide,Log(scale),-0.0885,0.1748,0.6126
